epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.3592139627452333;0.87391865;0.4635525653887943;0.8209542108786678;0.4730749874182184;0.8777259;0.70731705;0.99243736;0.116758935;0.8739913;0.466750173477877;0.8249578495360155;0.3134792244523153;0.4759725400457666;0.8780178;0.7027027;0.9921034;0.119266056
1;0.33078512741133137;0.878823;0.493505875800753;0.8296783789765031;0.4994994994994995;0.887249;0.67687076;0.9850323;0.20030196;0.8777157;0.4871409535551076;0.8271081818002198;0.307929464364407;0.49122807017543857;0.8880597;0.65;0.98241204;0.2087156
2;0.3236727014571727;0.8786186;0.5067185892196057;0.8357932794454326;0.5050100200400801;0.88266236;0.7423168;0.9914133;0.15802717;0.8786468;0.4982376097010336;0.8290008364232697;0.3055173430677381;0.4851258581235698;0.88246566;0.74725276;0.99174446;0.1559633
3;0.318216423602192;0.88113886;0.5170034211510726;0.8404379926906332;0.5047810770005032;0.8973075;0.63414633;0.9740035;0.28787115;0.8823712;0.5054026980525679;0.8312367868174424;0.30582680659568656;0.487551867219917;0.8991708;0.6376812;0.9730797;0.3027523
0;0.35798843683317527;0.8743955;0.4779969735354204;0.8233970627893343;0.48112732762959237;0.8842068;0.627451;0.9835355;0.17715149;0.8721291;0.4628051668344005;0.8256625526057548;0.3095294042709523;0.48863636363636365;0.8838939;0.5923077;0.9809763;0.17660551
0;0.5956881666836673;0.8287671;0.4146120799710334;0.7917355371900826;0.4318181818181818;0.8287671;nan;1.0;0.0;0.86188704;0.22406531467982355;0.6623171558974428;0.5016430018112424;0.26605504587155965;0.8645282;0.09090909;0.9964106;0.0022935779
1;0.5013183959542888;0.8287671;0.5798127951818315;0.8862809917355372;0.64;0.8287671;nan;1.0;0.0;0.8643699;0.2789306312169559;0.7229858334924952;0.4119903819299055;0.3273453093812375;0.8648649;0.33333334;0.9992821;0.0022935779
2;0.4902012429825247;0.8287671;0.669001771042877;0.8955371900826447;0.6923076923076923;0.8287671;nan;1.0;0.0;0.8649907;0.31728903711937967;0.7417514341036769;0.3866586894592389;0.37037037037037035;0.86494875;1.0;1.0;0.0022935779
3;0.4398090729158219;0.8287671;0.7752776090766992;0.9110743801652891;0.72;0.8287671;nan;1.0;0.0;0.8649907;0.34489201844525297;0.7576796992827836;0.38032031458849347;0.375;0.86494875;1.0;1.0;0.0022935779
4;0.40980218187586903;0.8287671;0.8332150905591019;0.9441322314049587;0.75;0.8287671;nan;1.0;0.0;0.8649907;0.3580434769922648;0.7702577435012545;0.36932060695967267;0.391304347826087;0.86494875;1.0;1.0;0.0022935779
5;0.4020325565991336;0.8287671;0.854105122761212;0.9593388429752067;0.76;0.8287671;nan;1.0;0.0;0.8665425;0.37709791653000885;0.7827365859441375;0.3511498730830862;0.40176600441501104;0.8667497;0.8;0.9992821;0.018348623
6;0.38435174606434286;0.84931505;0.8635773013344773;0.9603305785123968;0.76;0.84615386;1.0;1.0;0.12;0.8659218;0.3900333021668268;0.7899412692558467;0.3372906133079292;0.4288990825688073;0.8729404;0.530303;0.98887295;0.08027523
7;0.3399808321097126;0.89726025;0.8722169410494159;0.9543801652892562;0.84;0.8897059;1.0;1.0;0.4;0.86561143;0.3915472590424621;0.7861901249366096;0.3344213004940271;0.43577981651376146;0.88285065;0.5100671;0.97379756;0.17431192
8;0.34453794115210234;0.9109589;0.8571359035176287;0.9504132231404959;0.84;0.9153846;0.875;0.9834711;0.56;0.8621974;0.3783043077005416;0.7852775509263225;0.3359407516257649;0.4282560706401766;0.8908545;0.48230088;0.9580043;0.25
9;0.2903867174093037;0.9109589;0.8656900975874917;0.9500826446280991;0.84;0.9153846;0.875;0.9834711;0.56;0.86343884;0.38386660147230095;0.7858694685748533;0.33706572800782214;0.425531914893617;0.89126086;0.49107143;0.9590811;0.2522936
10;0.29555113715668246;0.9041096;0.8972636746939616;0.9626446280991735;0.8518518518518519;0.90839696;0.8666667;0.9834711;0.52;0.8637492;0.3875368245289145;0.783808047445616;0.33972000675235453;0.4282560706401766;0.8923437;0.4935065;0.9580043;0.2614679
